Price,Close,High,Low,Open,Volume
Ticker,ACWI,ACWI,ACWI,ACWI,ACWI
Date,,,,,
2008-03-28,35.668975830078125,35.668975830078125,35.668975830078125,35.668975830078125,200
2008-03-31,35.11363220214844,35.597761982380305,35.11363220214844,35.597761982380305,400
2008-04-01,36.060546875,36.060546875,35.711687487776636,35.775763590903594,600
2008-04-02,36.45923614501953,36.59450941202221,36.34532338727192,36.3951600490431,10700
2008-04-03,36.66570281982422,42.50373759839257,36.27412789599525,42.50373759839257,29100
2008-04-04,36.64434814453125,39.12195280246981,36.64434814453125,39.12195280246981,9900
2008-04-07,36.857948303222656,37.72653515902596,36.487730999370356,37.72653515902596,11300
2008-04-08,37.08576202392578,37.08576202392578,36.544677040082426,36.544677040082426,800
2008-04-09,36.395164489746094,36.53755613327792,36.33108838595151,36.53755613327792,4300
2008-04-10,36.395164489746094,36.665708340867084,36.19581781833836,36.665708340867084,6900
2008-04-11,35.81847381591797,36.18156984110904,35.81847381591797,36.18156984110904,600
2008-04-14,35.960872650146484,36.44500262815249,35.882559823144035,36.44500262815249,3900
2008-04-15,36.060546875,36.060546875,35.88967636136322,36.024946927566944,3100
2008-04-16,36.55179977416992,36.87929869084257,36.44500535026166,36.44500535026166,2900
2008-04-17,37.043052673339844,37.66245606222503,36.772511473948406,36.79386927498053,16400
2008-04-18,37.44886016845703,37.93299015099999,37.16407958312843,37.93299015099999,9700
2008-04-21,37.619720458984375,43.03770105753487,37.35629774234106,40.05460643011281,59100
2008-04-22,37.27799606323242,37.520061078548025,37.11424659932703,37.27799606323242,3600
2008-04-23,37.37054443359375,37.619727765858684,37.14983725652007,37.448857255237996,21500
2008-04-24,37.384788513183594,37.477343504486704,37.021692340987016,37.021692340987016,7100
2008-04-25,37.534297943115234,37.648210723930205,37.42750352289717,37.648210723930205,1700
2008-04-28,37.840431213378906,38.08961452108433,37.70515794700079,38.08961452108433,16100
2008-04-29,37.406150817871094,37.74076812938065,37.235280265438,37.74076812938065,13600
2008-04-30,37.91162872314453,38.324564198781886,37.5342931936718,37.54141155336798,9700
2008-05-01,37.797733306884766,37.86892780010498,37.42751596716884,37.48447373446167,6300
2008-05-02,38.032657623291016,38.25336478347923,37.961463166917746,38.08961536110517,15400
2008-05-05,38.13945388793945,38.13945388793945,38.01842276301021,38.09673558249084,4500
2008-05-06,38.3957633972168,38.3957633972168,38.01130674471278,38.03266454233137,2200
2008-05-07,37.7549934387207,38.353036074578,37.73363564612039,38.353036074578,5300
2008-05-08,37.883148193359375,38.51678809845552,37.861790399311694,37.883148193359375,189500
2008-05-09,37.719398498535156,37.719398498535156,37.48445461800929,37.48445461800929,1000
2008-05-12,38.10386276245117,38.10386276245117,37.81907944562573,37.81907944562573,2700
2008-05-13,38.146583557128906,38.516798090840666,37.89739745971714,38.0469074886271,281400
2008-05-14,38.23201370239258,38.52391537020515,38.23201370239258,38.41712095100023,19400
2008-05-15,38.63782501220703,38.63782501220703,38.438478342834436,38.438478342834436,8400
2008-05-16,38.96533966064453,38.96533966064453,38.70903514433328,38.83006903965616,4400
